date,year,quarter,industry,subindustry,institutional_sector,gva_constant,gva_current,total_gva,industry_share_pct,qoq_growth_pct,yoy_growth_pct,industry_rank,rolling_avg_4q,growth_contribution,volatility,cumulative_gva
2017-10-01,2017-18,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,581218.7031,914936.5845,6065596.995801516,9.582217603680363,66.55649769297662,5.830235130900729,2.0,460005.7239,386838.81271990016,40.386659069970094,11423319.9091
2018-01-01,2018-19,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,491886.4057,793473.0511,6532017.894423168,7.530389745563269,-15.36982497698981,-0.9312029641926123,5.0,458849.845125,-75602.07964169602,41.232054875575315,11915206.3148
2018-04-01,2018-19,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,433154.047,686739.3237,6294293.128662696,6.8816948646309575,-11.9402280728654,4.795575353291492,5.0,463805.261575,-51719.58111864659,40.45986310974307,12348360.3618
2018-07-01,2018-19,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,364398.3878,591790.4836,6255112.122874398,5.825609207985689,-15.873257949728902,4.423548163921942,6.0,467664.38590000005,-57841.89606014746,40.513174010841354,12712758.7496
2018-10-01,2018-19,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,589159.5096,957922.1875,6386199.739896134,9.22551021884546,61.68005384353128,1.3662338217346859,3.0,469649.587525,363393.9027455649,38.07736664728851,13301918.2592
2019-01-01,2019-20,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,534962.5822,899189.3529,6765017.144594635,7.907778661395475,-9.199024460590676,8.75734234588137,5.0,480418.63165,-49211.3387915855,37.110010031793756,13836880.8414
2019-04-01,2019-20,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,451611.8294,739384.8915,6586064.565056331,6.857081720639605,-15.580669671741386,4.2612512864274255,5.0,485033.07725000003,-70364.14733732224,37.74137396546931,14288492.6708
2019-07-01,2019-20,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,383768.1617,642811.9521,6519555.698153948,5.886415876601319,-15.022562139290141,5.315548736903586,6.0,489875.52072499995,-57651.81056219397,37.584687605312816,14672260.8325
2019-10-01,2019-20,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,623983.243,1087085.036,6601578.972765508,9.452030272972761,62.59380148574738,5.91074790995787,3.0,498581.454075,390574.83242774865,38.04022889346039,15296244.0755
2020-01-01,2020-21,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,3.294591223,8.530233318,5926912.380410746,5.558697364734248e-05,-99.99947200645852,-99.99938414548369,9.0,364841.6321728057,-3.294573827771124,66.40785678307516,15296247.370091222
2020-04-01,2020-21,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,468501.6767,803635.3266,5215483.73461598,8.982899775728976,14220227.95538714,3.739903651868337,3.0,369064.0939978057,66622006401.55088,7110122.716042404,15764749.046791224
2020-07-01,2020-21,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,400210.1992,714703.693,6176738.876057046,6.479312258954943,-14.57657056449122,4.284367266728362,5.0,373174.60337280575,-58336.92209267887,7110122.641710529,16164959.245991223
2020-10-01,2020-21,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,652913.1158,1212238.068,6726569.789464727,9.706479472235673,63.142547867380806,4.636322068668108,3.0,380407.07157280575,412265.9766764225,7110122.55025486,16817872.361791223
